site_code,name,state,lon,lat,elev,startyear,endyear,alignyear
UC_Davis,"UC_Davis",CA,238.23412,38.53339,83,1980,2021,1851
HBR,"Hubbard Brook",NY,288.271175,43.9556695,617.5,2012,2022,1851
UIEF,"University of Illinois Energy Farm",IL,271.80389,40.06278,222.3901672,1901,2022,1851
test1,"test site 1",TX,258.0524,32.784057,909.3672485,1901,2022,1851
test2,"test site 2",AZ,249.161889,32.951985,925.152832,1901,2022,1851
test3,"test site 3",NV,241.5086,39.4114,1469.872559,1901,2022,1851
test4,"test site 4",MT,254.973099,46.6788,762.1572266,1901,2022,1851
test5,"test site 5",OR,236.681421,46.041592,280.4612732,1901,2022,1851
test6,"test site 6",ND,262.232411,46.609622,380.5122681,1901,2022,1851
test7,"test site 7",IA,268.3991,41.897064,234.1548157,1901,2022,1851
test8,"test site 8",LA,269.130741,30.372798,9.351119995,1901,2022,1851
test9,"test site 9",FL,278.433032,29.102263,23.00164795,1901,2022,1851
test10,"test site 10",MS,270.6112,33.239735,155.1643677,1901,2022,1851
test11,"test site 11",NC,280.105354,35.713735,175.2467499,1901,2022,1851
test12,"test site 12",OH,277.492351,39.762051,302.0752258,1901,2022,1851
